,WPNAV_SPEED,WPNAV_SPEED_DN,H_COL_LAND_MIN,ATC_ANG_LIM_TC,FENCE_MARGIN,WPNAV_SPEED_UP,RTL_SPEED,AROT_TARG_SP,CAM_DURATION,FFT_NUM_FRAMES,PILOT_TKOFF_ALT,IM_STB_COL_1,IM_STB_COL_4,ACRO_Y_EXPO,ACRO_RP_EXPO,PILOT_Y_EXPO,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,FHLD_BRAKE_RATE,H_CYC_MAX,IM_STB_COL_2,IM_STB_COL_3,PSC_POSZ_P,ADSB_LIST_ALT,CHUTE_ALT_MIN
17:42:39.741,1620.0,340.0,-4.0,0.5,1.0,1010.0,2000.0,1400.0,0.0,0.0,560.0,0.0,76.0,-1.0,-0.5,-0.5,143.0,0.0,1.0,2900.0,100.0,0.0,1.0,0.0,7593.0
17:42:45.478,1670.0,410.0,-0.3,0.5,1.0,310.0,700.0,1550.0,0.0,0.0,1000.0,81.0,100.0,-1.0,-0.5,-0.5,25.0,0.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0
17:42:51.382,20.0,240.0,-0.3,0.5,1.0,110.0,1800.0,1850.0,0.0,0.0,760.0,0.0,62.0,-1.0,-0.5,-0.5,216.0,0.0,1.0,1700.0,87.0,0.0,1.0,0.0,12049.0
17:43:03.257,2020.0,10.0,-3.5,0.5,1.0,710.0,2000.0,2000.0,0.0,0.0,1000.0,39.0,98.0,-1.0,-0.5,-0.5,98.0,0.0,1.0,2900.0,0.0,11.0,1.0,0.0,2018.0
17:44:14.062,120.0,20.0,-3.6,0.5,1.0,1010.0,2000.0,1750.0,0.0,0.0,550.0,21.0,46.0,-1.0,-0.5,-0.5,26.0,0.0,1.0,3700.0,12.0,14.0,1.0,0.0,32000.0
17:45:14.152,1470.0,500.0,0.1,0.5,1.0,10.0,200.0,1400.0,0.0,0.0,900.0,100.0,0.0,-1.0,-0.5,-0.5,76.0,0.0,1.0,2600.0,22.0,17.0,1.0,0.0,32000.0
17:45:22.330,2020.0,160.0,-5.0,0.5,1.0,110.0,1750.0,2000.0,0.0,0.0,590.0,19.0,98.0,-1.0,-0.5,-0.5,250.0,0.0,1.0,100.0,5.0,75.0,1.0,0.0,3210.0
17:47:04.371,2020.0,280.0,-2.0,0.5,1.0,760.0,1500.0,1000.0,0.0,0.0,550.0,0.0,56.0,-1.0,-0.5,-0.5,240.0,0.0,1.0,0.0,52.0,89.0,1.0,0.0,32000.0
17:47:10.041,1870.0,190.0,-1.2,0.5,1.0,10.0,1900.0,800.0,0.0,0.0,510.0,100.0,40.0,-1.0,-0.5,-0.5,25.0,0.0,1.0,1900.0,100.0,100.0,1.0,0.0,16414.0
17:47:32.014,2020.0,180.0,-0.7,0.5,1.0,610.0,0.0,1350.0,0.0,0.0,940.0,100.0,85.0,-1.0,-0.5,-0.5,151.0,0.0,1.0,2500.0,78.0,21.0,1.0,0.0,8379.0
17:47:39.152,1820.0,500.0,0.1,0.5,1.0,560.0,0.0,950.0,0.0,0.0,330.0,23.0,31.0,-1.0,-0.5,-0.5,222.0,0.0,1.0,1300.0,16.0,61.0,1.0,0.0,28695.0
17:47:52.398,520.0,10.0,0.1,0.5,1.0,260.0,1900.0,1950.0,0.0,0.0,1000.0,85.0,97.0,-1.0,-0.5,-0.5,191.0,0.0,1.0,300.0,73.0,7.0,1.0,0.0,4577.0
17:48:06.138,1920.0,100.0,-3.8,0.5,1.0,760.0,1200.0,800.0,0.0,0.0,670.0,88.0,43.0,-1.0,-0.5,-0.5,197.0,0.0,1.0,3200.0,0.0,0.0,1.0,0.0,32000.0
17:48:22.108,2020.0,240.0,-4.3,0.5,1.0,760.0,2000.0,1150.0,0.0,0.0,480.0,55.0,0.0,-1.0,-0.5,-0.5,43.0,0.0,1.0,1100.0,28.0,44.0,1.0,0.0,6367.0
17:48:32.383,20.0,390.0,-0.5,0.5,1.0,560.0,0.0,2000.0,0.0,0.0,880.0,10.0,0.0,-1.0,-0.5,-0.5,197.0,0.0,1.0,1600.0,40.0,10.0,1.0,0.0,25470.0
17:48:51.459,1070.0,180.0,-2.5,0.5,1.0,1010.0,0.0,1700.0,0.0,0.0,1000.0,100.0,100.0,-1.0,-0.5,-0.5,250.0,0.0,1.0,3900.0,13.0,37.0,1.0,0.0,17921.0
